Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
DAEPWEMU,journalArticle,2021,"Chen, Wei-Han; You, Fengqi",Semiclosed Greenhouse Climate Control Under Uncertainty via Machine Learning and Data-Driven Robust Model Predictive Control,IEEE Transactions on Control Systems Technology,,1558-0865,10.1109/TCST.2021.3094999,,"This work proposes a novel data-driven robust model predictive control (DDRMPC) framework for automatic control of greenhouse in-door climate. The framework integrates dynamic control models of greenhouse temperature, humidity, and CO₂ concentration level with data-driven robust optimization models that accurately and rigorously capture uncertainty in weather forecast error. Data-driven uncertainty sets for ambient temperature, solar radiation, and humidity are constructed from historical data by leveraging a machine learning approach, namely, support vector clustering with weighted generalized intersection kernel. A training-calibration procedure that tunes the size of uncertainty sets is implemented to ensure that data-driven uncertainty sets attain an appropriate performance guarantee. In order to solve the optimization problem in DDRMPC, an affine disturbance feedback policy is utilized to obtain tractable approximations of optimal control. A case study of controlling temperature, humidity, and CO₂ concentration of a semiclosed greenhouse in New York City is presented. The results show that the DDRMPC approach ends up with 14% and 4% lower total cost than rule-based control and robust model predictive control with L₁-norm-based uncertainty set, respectively. The constraint violation probability, which is the percentage of time that the greenhouse system states violate the constraint throughout the whole growing period, for DDRMPC is only 0.39%. Hence, the proposed DDRMPC framework can prevent the greenhouse climate from becoming harmful to plants and fruits. In conclusion, the proposed DDRMPC approach can improve the greenhouse climate control performance and reduce cost compared with other control strategies.",2021,2021/12/3 14:48,2021/12/3 14:48,,12-1月,,,,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Control Systems Technology,,,,,Agriculture; Controlled environment agriculture; data-driven robust optimization; Green products; greenhouse climate control; Humidity; robust model predictive control (RMPC); Solar radiation; Temperature distribution; Uncertainty; uncertainty.\vspace-3pt; Weather forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRHZ482J,journalArticle,2021,"Bouras, El houssaine; Jarlan, Lionel; Er-Raki, Salah; Balaghi, Riad; Amazirh, Abdelhakim; Richard, Bastien; Khabba, Saïd","Cereal Yield Forecasting with Satellite Drought-Based Indices, Weather Data and Regional Climate Indices Using Machine Learning in Morocco",Remote Sensing,,,10.3390/rs13163101,https://www.mdpi.com/2072-4292/13/16/3101,"Accurate seasonal forecasting of cereal yields is an important decision support tool for countries, such as Morocco, that are not self-sufficient in order to predict, as early as possible, importation needs. This study aims to develop an early forecasting model of cereal yields (soft wheat, barley and durum wheat) at the scale of the agricultural province considering the 15 most productive over 2000–2017 (i.e., 15 × 18 = 270 yields values). To this objective, we built on previous works that showed a tight linkage between cereal yields and various datasets including weather data (rainfall and air temperature), regional climate indices (North Atlantic Oscillation in particular), and drought indices derived from satellite observations in different wavelengths. The combination of the latter three data sets is assessed to predict cereal yields using linear (Multiple Linear Regression, MLR) and non-linear (Support Vector Machine, SVM; Random Forest, RF, and eXtreme Gradient Boost, XGBoost) machine learning algorithms. The calibration of the algorithmic parameters of the different approaches are carried out using a 5-fold cross validation technique and a leave-one-out method is implemented for model validation. The statistical metrics of the models are first analyzed as a function of the input datasets that are used, and as a function of the lead times, from 4 months to 2 months before harvest. The results show that combining data from multiple sources outperformed models based on one dataset only. In addition, the satellite drought indices are a major source of information for cereal prediction when the forecasting is carried out close to harvest (2 months before), while weather data and, to a lesser extent, climate indices, are key variables for earlier predictions. The best models can accurately predict yield in January (4 months before harvest) with an R2 = 0.88 and RMSE around 0.22 t. ha−1. The XGBoost method exhibited the best metrics. Finally, training a specific model separately for each group of provinces, instead of one global model, improved the prediction performance by reducing the RMSE by 10% to 35% depending on the provinces. In conclusion, the results of this study pointed out that combining remote sensing drought indices with climate and weather variables using a machine learning technique is a promising approach for cereal yield forecasting.",1月-21,2021/12/3 14:48,2021/12/3 14:48,2021/12/3 14:48,3101,,16,13,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 16 Publisher: Multidisciplinary Digital Publishing Institute,,/Users/bbochenek/Zotero/storage/QKYMFSE6/Bouras et al. - 2021 - Cereal Yield Forecasting with Satellite Drought-Ba.pdf,,,climate indices; crop yield forecasting; machine learning; remote sensing drought indices; semiarid region; weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIAKZDEU,journalArticle,,"Qin, Peihua; Shi, Chunxiang",Characteristics of climate extremes in China during the recent global warming hiatus based upon machine learning,International Journal of Climatology,,1097-0088,10.1002/joc.7354,https://onlinelibrary.wiley.com/doi/abs/10.1002/joc.7354,"During 1998–2013, global surface air temperature increased more slowly than greenhouse gas concentrations, and therefore this period was defined as a “global warming hiatus.” The characteristics of climate extremes in China during this period are still not clear. In this study, based on 2,841 meteorological station observations in China, the trends of precipitation and temperature extremes during the global warming hiatus were investigated relative to the reference period (RF) (1982–1997) and the whole historical period (HIS) (1982–2017). Machine learning was used to capture the nonlinear regression of climate extremes, and the Theil–Sen method with the Mann–Kendall significant test was used to calculate the slopes of their linear trends. During the global warming hiatus, annual and summer (JJA) warmest days TXx and the number of summer days SU over the whole of China and most of its four subregions were found to decrease relative to the HIS and RF periods. Annual and winter (DJF) coldest nights TNn over China and its four subregions were found to decrease moderately relative to the HIS and RF periods, whereas the number of frost days FD increased consistently. Precipitation extremes showed more temporal and spatial variability than temperature extremes. Trends of annual and JJA wet extremes during the hiatus were found to decrease relative to the HIS and RF periods, whereas the dry extreme index during the hiatus was found to increase generally over China and in most subregions. Lighter winds and lower relative humidity over most areas of China might have contributed to less pronounced trends of wet extremes during the hiatus period.",,2021/12/3 14:48,2021/12/3 14:48,2021/12/3 14:48,,,n/a,n/a,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/joc.7354,,,,,climate extremes; global warming hiatus; machine learning; random forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V63U9WXW,journalArticle,2021,"Tao, Y. G.; Zhang, F.; Liu, W. J.; Shi, C. Y.",Tourists’ Perceptions of Climate: Application of Machine Learning to Climate and Weather Data from Chinese Social Media,"Weather, Climate, and Society",,"1948-8327, 1948-8335",10.1175/WCAS-D-21-0039.1,https://journals.ametsoc.org/view/journals/wcas/13/4/WCAS-D-21-0039.1.xml,"Abstract Understanding tourists’ perceptions of climate is essential to improving tourist satisfaction and destination marketing. This paper constructs a sentiment analysis framework for tourists’ perceptions of climate using not only continuous climate data but also short-term weather data. Based on Chinese social media platform Sina Weibo, we found that Chinese tourists’ perceptions of climate change were at an initial stage of development. The accuracies of word segmentation between sentiment and nonsentiment words using ROST content mining (CM), BosonNLP, and GooSeeker were all high, and the three gradually decreased. The positively expressed sentences accounted for 79.80% of the entire text using ROST emotion analysis (EA), and the sentiment score was 0.784 at the intermediate level using artificial neural networks. The results indicate that the perceived emotional map is generally consistent with the actual climate and that cognitive evaluation theory is suitable to study text on climate perception.",2021/10/1,2021/12/3 14:48,2021/12/3 14:48,2021/12/3 14:48,975-987,,4,13,,,Tourists’ Perceptions of Climate,,,,,,,EN,,,,,journals.ametsoc.org,,"Publisher: American Meteorological Society Section: Weather, Climate, and Society",,/Users/bbochenek/Zotero/storage/RDGTLH78/Tao et al. - 2021 - Tourists’ Perceptions of Climate Application of M.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP9QELVL,journalArticle,2021,"Meyer, David; Nagler, Thomas; Hogan, Robin J.",Copula-based synthetic data augmentation for machine-learning emulators,Geoscientific Model Development,,1991-959X,10.5194/gmd-14-5205-2021,https://gmd.copernicus.org/articles/14/5205/2021/,"<p><strong class=""journal-contentHeaderColor"">Abstract.</strong> Can we improve machine-learning (ML) emulators with synthetic data? If data are scarce or expensive to source and a physical model is available, statistically generated data may be useful for augmenting training sets cheaply. Here we explore the use of copula-based models for generating synthetically augmented datasets in weather and climate by testing the method on a toy physical model of downwelling longwave radiation and corresponding neural network emulator. Results show that for copula-augmented datasets, predictions are improved by up to 62 % for the mean absolute error (from 1.17 to 0.44 W m<span class=""inline-formula""><sup>−2</sup></span>).</p>",2021/8/18,2021/12/3 14:48,2021/12/3 14:48,2021/12/3 14:48,5205-5215,,8,14,,,,,,,,,,English,,,,,gmd.copernicus.org,,Publisher: Copernicus GmbH,,/Users/bbochenek/Zotero/storage/WEZA67YB/Meyer et al. - 2021 - Copula-based synthetic data augmentation for machi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ52A8JK,journalArticle,2021,"Anh Khoa, Tran; Quang Minh, Nguyen; Hai Son, Hoang; Nguyen Dang Khoa, Cao; Ngoc Tan, Dinh; VanDung, Nguyen; Hoang Nam, Nguyen; Ngoc Minh Duc, Dang; Trung Tin, Nguyen",Wireless sensor networks and machine learning meet climate change prediction,International Journal of Communication Systems,,1099-1131,10.1002/dac.4687,https://onlinelibrary.wiley.com/doi/abs/10.1002/dac.4687,"Climate change is one of the main challenges faced by the development of every country. For countries producing agricultural commodities, the climate affects the quantity and quality of products. Many methods have been proposed to keep track of climate. One traditional method is the weather station model, which indicates the temperature, wind speed, and direction and extent of cloud cover. However, this method of predicting climate change has low accuracy due to geographical variation, for example, mountainous or forested areas. Recently, a combination of wireless sensor networks (WSN) and machine learning (ML) has been considered for prediction with the Internet of Things (IoT), for instance, through a wireless body area network. For climate change prediction, we design and develop a control system that uses node sensors to collect data in sandhills and beaches, with data management conducted via a web application with three components. The first component is designed to collect data from the node sensors. The second component is mainly used to control the system through a web application. The third component uses linear regression in ML to analyze the data to predict weight and volume. The complete system has been tried and tested in real time on a 10-m2 area of a beach at Binh Thuan province, Vietnam, where sensor node data were wirelessly collected over a cloud using a web application. This enabled assessment of the current state of the land at a coastal sandy beach, as well as prediction of the risk level of desertification and natural disasters.",2021,2021/12/3 14:49,2021/12/3 14:49,2021/12/3 14:49,e4687,,3,34,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/dac.4687,,,,,linear regression; machine learning; predict; sensor; web application; wireless sensor network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H74GRPFV,journalArticle,2021,"Wickramasinghe, Lasini; Weliwatta, Rukmal; Ekanayake, Piyal; Jayasinghe, Jeevani",Modeling the Relationship between Rice Yield and Climate Variables Using Statistical and Machine Learning Techniques,Journal of Mathematics,,2314-4629,10.1155/2021/6646126,https://www.hindawi.com/journals/jmath/2021/6646126/,"This paper presents the application of a multiple number of statistical methods and machine learning techniques to model the relationship between rice yield and climate variables of a major region in Sri Lanka, which contributes significantly to the country’s paddy harvest. Rainfall, temperature (minimum and maximum), evaporation, average wind speed (morning and evening), and sunshine hours are the climatic factors considered for modeling. Rice harvest and yield data over the last three decades and monthly climatic data were used to develop the prediction model by applying artificial neural networks (ANNs), support vector machine regression (SVMR), multiple linear regression (MLR), Gaussian process regression (GPR), power regression (PR), and robust regression (RR). The performance of each model was assessed in terms of the mean squared error (MSE), correlation coefficient (R), mean absolute percentage error (MAPE), root mean squared error ratio (RSR), BIAS value, and the Nash number, and it was found that the GPR-based model is the most accurate among them. Climate data collected until early 2019 (Maha season of year 2018) were used to develop the model, and an independent validation was performed by applying data of the Yala season of year 2019. The developed model can be used to forecast the future rice yield with very high accuracy.",2021/2/2,2021/12/3 14:49,2021/12/3 14:49,2021/12/3 14:49,e6646126,,,2021,,,,,,,,,,en,,,,,www.hindawi.com,,Publisher: Hindawi,,/Users/bbochenek/Zotero/storage/8QK83IAN/Wickramasinghe et al. - 2021 - Modeling the Relationship between Rice Yield and C.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM24Y4GY,journalArticle,2021,"Hiyama, Kyosuke; Omodaka, Yuichi",Operation of climate-adaptive building shells utilizing machine learning under sparse data conditions,Journal of Building Engineering,,2352-7102,10.1016/j.jobe.2021.103027,https://www.sciencedirect.com/science/article/pii/S2352710221008858,"Conventional machine learning (ML) techniques based on big data are difficult to integrate directly into building operations due to the “curse of dimensionality” caused by data sparsity. While the number of feature variables in buildings is considerable, in many cases, a reliable dataset is only obtained from the target building operation through unique features. This results in insufficient data for building an operable ML model. In this study, we proposed a methodology applying a robust algorithm and carefully selected feature variables based on building physics. An operation using climate-adaptive building shells is presented as a case study. Energy simulations utilizing a generic office building model equipped with electrochromic glasses were performed on 2016–2019 weather data from Tokyo and Fukuoka, Japan. The k-nearest neighbor algorithm was employed for the ML application because of its robustness regarding small datasets, and feature variables were prearranged and carefully chosen to set an adequate combination between the numbers of feature and objective variables. Without ML, the air conditioning system operation became unstable in intermediate seasons. The ML application successfully solved this problem; 95% of the undesired cooling operation was avoided. The results prove that a simple ML algorithm could become a better solution than a complex one in cases where building physics based on building engineers’ knowledge is effectively utilized. It expands the ML application in various building operations, even in cases that do not respond to the direct application of complex ML techniques that require large datasets, known as “big data.”",2021/11/1,2021/12/3 14:49,2021/12/3 14:49,2021/12/3 14:49,103027,,,43,,Journal of Building Engineering,,,,,,,,en,,,,,ScienceDirect,,,,,,,AI; Building Façade; CABS; Dynamic façade system; Electrochromic glass; Solar gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8EWGQXNW,journalArticle,2021,"Villefranque, Najda; Blanco, Stéphane; Couvreux, Fleur; Fournier, Richard; Gautrais, Jacques; Hogan, Robin J.; Hourdin, Frédéric; Volodina, Victoria; Williamson, Daniel",Process-Based Climate Model Development Harnessing Machine Learning: III. The Representation of Cumulus Geometry and Their 3D Radiative Effects,Journal of Advances in Modeling Earth Systems,,1942-2466,10.1029/2020MS002423,https://onlinelibrary.wiley.com/doi/abs/10.1029/2020MS002423,"Process-scale development, evaluation, and calibration of physically based parameterizations of clouds and radiation are powerful levers for improving weather and climate models. In a series of papers, we propose a strategy for process-based calibration of climate models that uses machine learning techniques. It relies on systematic comparisons of single-column versions of climate models with explicit simulations of boundary-layer dynamics and clouds (Large-Eddy Simulations [LES]). This paper focuses on the calibration of cloud geometry parameters (vertical overlap, horizontal heterogeneity, and cloud size) that appear in the parameterization of radiation. The solar component of a radiative transfer (RT) scheme that includes a parameterization for 3D radiative effects of clouds (SPARTACUS) is run in offline single-column mode on an ensemble of input cloud profiles synthesized from LES outputs. The space of cloud geometry parameter values is efficiently explored by sampling a large number of parameter sets (configurations) from which radiative metrics are computed using fast surrogate models that emulate the SPARTACUS solver. The sampled configurations are evaluated by comparing these radiative metrics to reference values provided by a 3D RT Monte Carlo model. The best calibrated configurations yield better predictions of TOA and surface fluxes than the one that uses parameter values computed from the 3D cloud fields: The root-mean-square errors averaged over cumulus cloud fields and solar angles are reduced from ∼10 Wm−2 with LES-derived parameters to ∼5 Wm−2 with adjusted parameters. However, the calibration of cloud geometry fails to reduce the errors on absorption, which remain around 2–4 Wm−2.",2021,2021/12/3 14:49,2021/12/3 14:49,2021/12/3 14:49,e2020MS002423,,4,13,,,Process-Based Climate Model Development Harnessing Machine Learning,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1029/2020MS002423,,/Users/bbochenek/Zotero/storage/DPI9ZVDW/Villefranque et al. - 2021 - Process-Based Climate Model Development Harnessing.pdf,,,Large-Eddy Simulations; machine learning; Monte Carlo methods; process-oriented model tuning; radiation parameterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YF7VZV7D,journalArticle,2020,"Gholami Rostam, Mehdi; Sadatinejad, Seyyed Javad; Malekian, Arash",Precipitation forecasting by large-scale climate indices and machine learning techniques,Journal of Arid Land,,2194-7783,10.1007/s40333-020-0097-3,https://doi.org/10.1007/s40333-020-0097-3,"Global warming is one of the most complicated challenges of our time causing considerable tension on our societies and on the environment. The impacts of global warming are felt unprecedentedly in a wide variety of ways from shifting weather patterns that threatens food production, to rising sea levels that deteriorates the risk of catastrophic flooding. Among all aspects related to global warming, there is a growing concern on water resource management. This field is targeted at preventing future water crisis threatening human beings. The very first stage in such management is to recognize the prospective climate parameters influencing the future water resource conditions. Numerous prediction models, methods and tools, in this case, have been developed and applied so far. In line with trend, the current study intends to compare three optimization algorithms on the platform of a multilayer perceptron (MLP) network to explore any meaningful connection between large-scale climate indices (LSCIs) and precipitation in the capital of Iran, a country which is located in an arid and semi-arid region and suffers from severe water scarcity caused by mismanagement over years and intensified by global warming. This situation has propelled a great deal of population to immigrate towards more developed cities within the country especially towards Tehran. Therefore, the current and future environmental conditions of this city especially its water supply conditions are of great importance. To tackle this complication an outlook for the future precipitation should be provided and appropriate forecasting trajectories compatible with this region’s characteristics should be developed. To this end, the present study investigates three training methods namely backpropagation (BP), genetic algorithms (GAs), and particle swarm optimization (PSO) algorithms on a MLP platform. Two frameworks distinguished by their input compositions are denoted in this study: Concurrent Model Framework (CMF) and Integrated Model Framework (IMF). Through these two frameworks, 13 cases are generated: 12 cases within CMF, each of which contains all selected LSCIs in the same lead-times, and one case within IMF that is constituted from the combination of the most correlated LSCIs with Tehran precipitation in each lead-time. Following the evaluation of all model performances through related statistical tests, Taylor diagram is implemented to make comparison among the final selected models in all three optimization algorithms, the best of which is found to be MLP-PSO in IMF.",2020/9/1,2021/12/3 14:49,2021/12/3 14:49,2021/12/3 14:49,854-864,,5,12,,J. Arid Land,,,,,,,,en,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
