Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
558WDM49,journalArticle,2020,"Cho, Dongjin; Yoo, Cheolhee; Im, Jungho; Cha, Dong-Hyun",Comparative Assessment of Various Machine Learning-Based Bias Correction Methods for Numerical Weather Prediction Model Forecasts of Extreme Air Temperatures in Urban Areas,Earth and Space Science,,2333-5084,10.1029/2019EA000740,https://onlinelibrary.wiley.com/doi/abs/10.1029/2019EA000740,"Forecasts of maximum and minimum air temperatures are essential to mitigate the damage of extreme weather events such as heat waves and tropical nights. The Numerical Weather Prediction (NWP) model has been widely used for forecasting air temperature, but generally it has a systematic bias due to its coarse grid resolution and lack of parametrizations. This study used random forest (RF), support vector regression (SVR), artificial neural network (ANN) and a multi-model ensemble (MME) to correct the Local Data Assimilation and Prediction System (LDAPS; a local NWP model over Korea) model outputs of next-day maximum and minimum air temperatures ( and ) in Seoul, South Korea. A total of 14 LDAPS model forecast data, the daily maximum and minimum air temperatures of in-situ observations, and five auxiliary data were used as input variables. The results showed that the LDAPS model had an R2 of 0.69, a bias of −0.85 °C and an RMSE of 2.08 °C for forecast, whereas the proposed models resulted in the improvement with R2 from 0.75 to 0.78, bias from −0.16 to −0.07 °C and RMSE from 1.55 to 1.66 °C by hindcast validation. For forecasting , the LDAPS model had an R2 of 0.77, a bias of 0.51 °C and an RMSE of 1.43 °C by hindcast, while the bias correction models showed R2 values ranging from 0.86 to 0.87, biases from −0.03 to 0.03 °C, and RMSEs from 0.98 to 1.02 °C. The MME model had better generalization performance than the three single machine learning models by hindcast validation and leave-one-station-out cross-validation.",2020,2021/10/6 11:48,2021/10/6 11:48,2021/10/6 11:48,e2019EA000740,,4,7,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1029/2019EA000740,,/Users/bbochenek/Zotero/storage/M52CTTPI/2019EA000740.html; /Users/bbochenek/Zotero/storage/MKFZRRC8/Cho et al. - 2020 - Comparative Assessment of Various Machine Learning.pdf,,,random forest; Air temperature forecast; artificial neural networks; bias correction; multi-model ensemble; support vector regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L4IQ3R3H,journalArticle,2021,"Moosavi, Azam; Rao, Vishwas; Sandu, Adrian",Machine learning based algorithms for uncertainty quantification in numerical weather prediction models,Journal of Computational Science,,1877-7503,10.1016/j.jocs.2020.101295,https://www.sciencedirect.com/science/article/pii/S1877750320305895,"Complex numerical weather prediction models incorporate a variety of physical processes, each described by multiple alternative physical schemes with specific parameters. The selection of the physical schemes and the choice of the corresponding physical parameters during model configuration can significantly impact the accuracy of model forecasts. There is no combination of physical schemes that works best for all times, at all locations, and under all conditions. It is therefore of considerable interest to understand the interplay between the choice of physics and the accuracy of the resulting forecasts under different conditions. This paper demonstrates the use of machine learning techniques to study the uncertainty in numerical weather prediction models due to the interaction of multiple physical processes. The first problem addressed herein is the estimation of systematic model errors in output quantities of interest at future times, and the use of this information to improve the model forecasts. The second problem considered is the identification of those specific physical processes that contribute most to the forecast uncertainty in the quantity of interest under specified meteorological conditions. In order to address these questions we employ two machine learning approaches, random forests and artificial neural networks. The discrepancies between model results and observations at past times are used to learn the relationships between the choice of physical processes and the resulting forecast errors. Numerical experiments are carried out with the Weather Research and Forecasting (WRF) model. The output quantity of interest is the model precipitation, a variable that is both extremely important and very challenging to forecast. The physical processes under consideration include various micro-physics schemes, cumulus parameterizations, short wave, and long wave radiation schemes. The experiments demonstrate the strong potential of machine learning approaches to aid the study of model errors.",2021/3/1,2021/10/6 11:49,2021/10/6 11:49,2021/10/6 11:49,101295,,,50,,Journal of Computational Science,,,,,,,,en,,,,,ScienceDirect,,,,,,,Machine learning; Numerical weather prediction model; Physical processes; Precipitation prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHGRCXQK,journalArticle,2021,"Schultz, M. G.; Betancourt, C.; Gong, B.; Kleinert, F.; Langguth, M.; Leufen, L. H.; Mozaffari, A.; Stadtler, S.",Can deep learning beat numerical weather prediction?,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",,,10.1098/rsta.2020.0097,https://royalsocietypublishing.org/doi/full/10.1098/rsta.2020.0097,"The recent hype about artificial intelligence has sparked renewed interest in applying the successful deep learning (DL) methods for image recognition, speech recognition, robotics, strategic games and other application areas to the field of meteorology. There is some evidence that better weather forecasts can be produced by introducing big data mining and neural networks into the weather prediction workflow. Here, we discuss the question of whether it is possible to completely replace the current numerical weather models and data assimilation systems with DL approaches. This discussion entails a review of state-of-the-art machine learning concepts and their applicability to weather data with its pertinent statistical properties. We think that it is not inconceivable that numerical weather models may one day become obsolete, but a number of fundamental breakthroughs are needed before this goal comes into reach. This article is part of the theme issue ‘Machine learning for weather and climate modelling’.",2021/4/5,2021/10/6 11:49,2021/10/6 11:49,2021/10/6 11:49,20200097,,2194,379,,,,,,,,,,,,,,,royalsocietypublishing.org (Atypon),,Publisher: Royal Society,,/Users/bbochenek/Zotero/storage/T2EWLV9B/Schultz et al. - 2021 - Can deep learning beat numerical weather predictio.pdf,,,machine learning; deep learning; numerical weather prediction; spatiotemporal pattern recognition; weather AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTDQ9IIY,journalArticle,2020,"Kim, Nari; Kim, Kwangjin; Lee, Soobong; Cho, Jaeil; Lee, Yangwon",Retrieval of Daily Reference Evapotranspiration for Croplands in South Korea Using Machine Learning with Satellite Images and Numerical Weather Prediction Data,Remote Sensing,,,10.3390/rs12213642,https://www.mdpi.com/2072-4292/12/21/3642,"Evapotranspiration (ET) is an important component of the Earth&rsquo;s energy and water cycle via the interaction between the atmosphere and the land surface. The reference evapotranspiration (ET0) is particularly important in the croplands because it is a convenient and reasonable method for calculating the actual evapotranspiration (AET) that represents the loss of water in the croplands through the soil evaporation and vegetation transpiration. To date, many efforts have been made to retrieve ET0 on a spatially continuous grid. In particular, the Moderate Resolution Imaging Spectroradiometer (MODIS) product is provided with a reasonable spatial resolution of 500 m and a temporal resolution of 8 days. However, the applicability to the local-scale variabilities due to complex and heterogeneous land surfaces in countries like South Korea is not sufficiently validated. Meanwhile, the AI approaches showed a useful functionality for the ET0 retrieval on the local scale but have rarely demonstrated a substantial product for a spatially continuous grid. This paper presented a retrieval of the daily reference evapotranspiration (ET0) over a 500 m grid for croplands in South Korea using machine learning (ML) with satellite images and numerical weather prediction data. In a blind test for 2013&ndash;2019, the ML-based ET0 model produced the accuracy statistics with a root mean square error of 1.038 mm/day and a correlation coefficient of 0.870. The results of the blind test were stable irrespective of location, year, and month. This outcome is presumably because the input data of the ML-based ET0 model were suitably arranged spatially and temporally, and the optimization of the model was appropriate. We found that the relative humidity and land surface temperature were the most influential variables for the ML-based ET0 model, but the variables with lower importance were also necessary to consider the nonlinearity between the variables. Using the daily ET0 data produced over the 500 m grid, we conducted a case study to examine agrometeorological characteristics of the croplands in South Korea during the period when heatwave and drought events occurred. Through the experiments, the feasibility of the ML-based ET0 retrieval was validated, especially for local agrometeorological applications in regions with heterogeneous land surfaces, such as South Korea.",1月-20,2021/10/6 11:49,2021/10/6 11:49,2021/10/6 11:49,3642,,21,12,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 21 Publisher: Multidisciplinary Digital Publishing Institute,,/Users/bbochenek/Zotero/storage/S3BDWY7E/Kim et al. - 2020 - Retrieval of Daily Reference Evapotranspiration fo.pdf,,,machine learning; agrometeorology; cropland; evapotranspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSH9VP6S,webpage,,,Using Machine-Learning Methods to Improve Surface Wind Speed from the Outputs of a Numerical Weather Prediction Model | SpringerLink,,,,,https://link.springer.com/article/10.1007/s10546-020-00586-x,"The relationship between the wind speed derived from the outputs of a numerical-weather-prediction model and from observations is explored using statistical and machine-learning models. Eight years of wind-speed measurements at a height of 10 m (from 2010 to 2017) from 171 stations spread over mainland France and Corsica are used for reference. Operational analyses from the European Center for Medium Range Weather Forecasts (ECMWF) provide the model information not only on the surface flow, but on other aspects of the atmospheric state at the location (or above) each station. In a first step, a large number of explanatory variables are used as input to several models (linear regressions, k-nearest neighbours, random forests, and gradient boosting). The modelled wind speed in the ECMWF analyses, by itself, has root-mean-square errors over all stations distributed widely around a median of 1.42 m s−1. Using statistical post-processing and making use of a historical dataset for training, the median of the root-mean-square errors at all stations can be reduced down to 1.07 m s−1 when modelled with linear regressions, and down to 0.94 m s−1 with the machine-learning models (random forests or gradient boosting). Yet more significant decreases are found for coastal stations where the errors are largest. The random-forest models are further explored to reduce the list of explanatory variables: a list of 25 explanatory variables, mainly consisting of flow variables (wind speed, velocity components, horizontal gradients of geopotential on different isobaric surfaces, wind shear between 10 and 100 m) and including marginally some temperature variables, appears as a good compromise between performance and simplicity. Finally, as a preliminary test for further work, the relation thus captured between the model outputs and the observed wind speed at a given time is applied to forecasts of the numerical-weather-prediction model, for lead times up to 24 h. The machine-learning model is found to be essentially as relevant on the forecasts as it was on the analyses, encouraging further use and development of these approaches for local wind-speed forecasts.",,2021/10/6 11:49,2021/10/6 11:50,2021/10/6 11:49,,,,,,,,,,,,,,,,,,,,,,,/Users/bbochenek/Zotero/storage/48RIZPV9/s10546-020-00586-x.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8BDNJR3P,journalArticle,2021,"Bodini, Nicola; Hu, Weiming; Optis, Mike; Cervone, Guido; Alessandrini, Stefano","Assessing Boundary Condition and Parametric Uncertainty in Numerical-Weather-Prediction-Modeled, Long-Term Offshore Wind Speed Through Machine Learning and Analog Ensemble",Wind Energy Science Discussions,,2366-7443,10.5194/wes-2021-33,https://wes.copernicus.org/preprints/wes-2021-33/,"<p><strong class=""journal-contentHeaderColor"">Abstract.</strong> To accurately plan and manage wind power plants, not only does the time-varying wind resource at the site of interest need to be assessed, but also the uncertainty connected to this estimate. Numerical weather prediction (NWP) models at the mesoscale represent a valuable way to characterize the wind resource offshore, given the challenges connected with measuring hub height wind speed. The boundary condition and parametric uncertainty associated with modeled wind speed is often estimated by running a model ensemble. However, creating an NWP ensemble of long-term wind resource data over a large region represents a computational challenge. Here, we propose two approaches to temporally extrapolate wind speed boundary condition and parametric uncertainty using a more convenient setup where a mesoscale ensemble is run over a short-term period (1 year), and only a single model covers the desired long-term period (20 year). We quantify hub-height wind speed boundary condition and parametric uncertainty from the short-term model ensemble as its normalized across-ensemble standard deviation. Then, we develop and apply a gradient-boosting model and an analog ensemble approach to temporally extrapolate such uncertainty to the full 20-year period, where only a single model run is available. As a test case, we consider offshore wind resource characterization in the California Outer Continental Shelf. Both the proposed approaches provide accurate estimates of the long-term wind speed boundary condition and parametric uncertainty across the region (<em>R</em><sup>2</sup>&thinsp;&gt;&thinsp;0.75), with the gradient-boosting model slightly outperforming the analog ensemble in terms of bias and centered root-mean-square error. At the three offshore wind energy lease areas in the region, we find a long-term median hourly uncertainty between 10&thinsp;% and 14&thinsp;% of the mean hub-height wind speed values. Finally, we assess the physical variability of the uncertainty estimates. In general, we find that the wind speed uncertainty increases closer to land. Also, neutral conditions have smaller uncertainty than the stable and unstable cases, and the modeled wind speed in winter has less boundary condition and parametric sensitivity than summer.</p>",2021/5/11,2021/10/6 11:50,2021/10/6 11:50,2021/10/6 11:50,22-1月,,,,,,,,,,,,,English,,,,,wes.copernicus.org,,Publisher: Copernicus GmbH,,/Users/bbochenek/Zotero/storage/7W795SKI/Bodini et al. - 2021 - Assessing Boundary Condition and Parametric Uncert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQWDVL39,conferencePaper,2019,"L., Naveen; H.S., Mohan",Atmospheric Weather Prediction Using various machine learning Techniques: A Survey,2019 3rd International Conference on Computing Methodologies and Communication (ICCMC),,,10.1109/ICCMC.2019.8819643,,"Generally, weather is comprised of numerous parameters including rainfall, precipitation, wind speed, etc. Environmental weather forecast is a testing errand for researchers and it has drawn a great deal of research enthusiasm in the recent years. Our study considers a wide variety of weather figure methods which can observe weather in the midst, or month to month or annually by considering the available meteorological information. So the precise forecast of weather parameters is emerging as a challenging task due to their dynamic environment conditions. Different machine learning systems are connected to foresee air parameters. Along with weather prediction, various applications based on Numerical Weather Prediction outputs are also analyzed.",3月-19,2021/10/6 11:50,2021/10/6 11:50,,422-428,,,,,,Atmospheric Weather Prediction Using various machine learning Techniques,,,,,,,,,,,,IEEE Xplore,,,,,,,Machine learning; Forecasting; Artificial neural networks; Conferences; Data collection management; own prediction system; Support vector machines; Weather forecasting; Weather Prediction system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 3rd International Conference on Computing Methodologies and Communication (ICCMC),,,,,,,,,,,,,,,
QH825JY2,journalArticle,2020,"Kosovic, Branko; Haupt, Sue Ellen; Adriaansen, Daniel; Alessandrini, Stefano; Wiener, Gerry; Delle Monache, Luca; Liu, Yubao; Linden, Seth; Jensen, Tara; Cheng, William; Politovich, Marcia; Prestopnik, Paul",A Comprehensive Wind Power Forecasting System Integrating Artificial Intelligence and Numerical Weather Prediction,Energies,,,10.3390/en13061372,https://www.mdpi.com/1996-1073/13/6/1372,"The National Center for Atmospheric Research (NCAR) recently updated the comprehensive wind power forecasting system in collaboration with Xcel Energy addressing users&rsquo; needs and requirements by enhancing and expanding integration between numerical weather prediction and machine-learning methods. While the original system was designed with the primary focus on day-ahead power prediction in support of power trading, the enhanced system provides short-term forecasting for unit commitment and economic dispatch, uncertainty quantification in wind speed prediction with probabilistic forecasting, and prediction of extreme events such as icing. Furthermore, the empirical power conversion machine-learning algorithms now use a quantile approach to data quality control that has improved the accuracy of the methods. Forecast uncertainty is quantified using an analog ensemble approach. Two methods of providing short-range ramp forecasts are blended: the variational doppler radar analysis system and an observation-based expert system. Extreme events, specifically changes in wind power due to high winds and icing, are now forecasted by combining numerical weather prediction and a fuzzy logic artificial intelligence system. These systems and their recent advances are described and assessed.",1月-20,2021/10/6 11:51,2021/10/6 11:51,2021/10/6 11:51,1372,,6,13,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 6 Publisher: Multidisciplinary Digital Publishing Institute,,/Users/bbochenek/Zotero/storage/AAN9VTT6/Kosovic et al. - 2020 - A Comprehensive Wind Power Forecasting System Inte.pdf,,,machine learning; grid integration; renewable energy; turbine icing; wind energy; wind power forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKMFZD2K,journalArticle,2021,"Donadio, Lorenzo; Fang, Jiannong; Porté-Agel, Fernando",Numerical Weather Prediction and Artificial Neural Network Coupling for Wind Energy Forecast,Energies,,,10.3390/en14020338,https://www.mdpi.com/1996-1073/14/2/338,"In the past two decades, wind energy has been under fast development worldwide. The dramatic increase of wind power penetration in electricity production has posed a big challenge to grid integration due to the high uncertainty of wind power. Accurate real-time forecasts of wind farm power outputs can help to mitigate the problem. Among the various techniques developed for wind power forecasting, the hybridization of numerical weather prediction (NWP) and machine learning (ML) techniques such as artificial neural networks (ANNs) are attracting many researchers world-wide nowadays, because it has the potential to yield more accurate forecasts. In this paper, two hybrid NWP and ANN models for wind power forecasting over a highly complex terrain are proposed. The developed models have a fine temporal resolution and a sufficiently large prediction horizon (&gt;6 h ahead). Model 1 directly forecasts the energy production of each wind turbine. Model 2 forecasts first the wind speed, then converts it to the power using a fitted power curve. Effects of various modeling options (selection of inputs, network structures, etc.) on the model performance are investigated. Performances of different models are evaluated based on four normalized error measures. Statistical results of model predictions are presented with discussions. Python was utilized for task automation and machine learning. The end result is a fully working library for wind power predictions and a set of tools for running the models in forecast mode. It is shown that the proposed models are able to yield accurate wind farm power forecasts at a site with high terrain and flow complexities. Especially, for Model 2, the normalized Mean Absolute Error and Root Mean Squared Error are obtained as 8.76% and 13.03%, respectively, lower than the errors reported by other models in the same category.",1月-21,2021/10/6 11:51,2021/10/6 11:51,2021/10/6 11:51,338,,2,14,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 2 Publisher: Multidisciplinary Digital Publishing Institute,,/Users/bbochenek/Zotero/storage/N4ZNH7XP/Donadio et al. - 2021 - Numerical Weather Prediction and Artificial Neural.pdf,,,artificial neural network; numerical weather prediction; wind power forecasting; complex terrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCFR4KT,journalArticle,2021,"Park, Seohui; Kim, Miae; Im, Jungho",Estimation of Ground-level PM<sub>10</sub> and PM<sub>2.5</sub> Concentrations Using Boosting-based Machine Learning from Satellite and Numerical Weather Prediction Data,Korean Journal of Remote Sensing,,1225-6161,10.7780/kjrs.2021.37.2.11,https://www.koreascience.or.kr/article/JAKO202113855736082.page,"Particulate matter (PM10 and PM2.5 with a diameter less than 10 and 2.5 &#13211;, respectively) can be absorbed by the human body and adversely affect human health. Although most of the PM monitoring are based on ground-based observations, they are limited to point-based measurement sites, which leads to uncertainty in PM estimation for regions without observation sites. It is possible to overcome their spatial limitation by using satellite data. In this study, we developed machine learning-based retrieval algorithm for ground-level PM10 and PM2.5 concentrations using aerosol parameters from Geostationary Ocean Color Imager (GOCI) satellite and various meteorological parameters from a numerical weather prediction model during January to December of 2019. Gradient Boosted Regression Trees (GBRT) and Light Gradient Boosting Machine (LightGBM) were used to estimate PM concentrations. The model performances were examined for two types of feature sets-all input parameters (Feature set 1) and a subset of input parameters without meteorological and land-cover parameters (Feature set 2). Both models showed higher accuracy (about 10 % higher in R2) by using the Feature set 1 than the Feature set 2. The GBRT model using Feature set 1 was chosen as the final model for further analysis(PM10: R2 = 0.82, nRMSE = 34.9 %, PM2.5: R2 = 0.75, nRMSE = 35.6 %). The spatial distribution of the seasonal and annual-averaged PM concentrations was similar with in-situ observations, except for the northeastern part of China with bright surface reflectance. Their spatial distribution and seasonal changes were well matched with in-situ measurements.",2021,2021/10/6 11:51,2021/10/6 11:52,2021/10/6 11:51,321-335,,2,37,,,,,,,,,,kor,,,,,www.koreascience.or.kr,,Publisher: The Korean Society of Remote Sensing,,/Users/bbochenek/Zotero/storage/ZYXSXETA/Park et al. - 2021 - Estimation of Ground-level PM10 and PM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
